t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Hoehe;Bbox_links_unten_y;Abstand(m)
0;22;90;99;153;76,5
0,1;22,2;90;100;154;77
0,2;22,2;86;95;154;77
0,3;22,1;90;100;153;76,5
0,4;22,1;90;100;153;76,5
0,5;22;93;103;153;76,5
0,6;22,1;93;103;152;76
0,7;22,2;96;106;149;74,5
0,8;22;94;104;151;75,5
0,9;22,1;95;105;150;75
1;22;99;109;148;74
1,1;22;99;109;149;74,5
1,2;22;90;100;150;75
1,3;22;99;110;148;74
1,4;22;143;116;147;73,5
1,5;22,1;134;104;149;74,5
1,6;22,2;100;111;147;73,5
1,7;22,1;99;109;147;73,5
1,8;22,1;100;111;147;73,5
1,9;22,2;106;117;146;73
2;22;105;116;147;73,5
2,1;22,1;102;113;144;72
2,2;22;106;117;143;71,5
2,3;22;103;114;145;72,5
2,4;22;103;114;144;72
2,5;22,2;103;114;144;72
2,6;22,1;144;123;143;71,5
2,7;22,2;116;128;141;70,5
2,8;22,1;108;120;140;70
2,9;22,1;110;122;143;71,5
3;22,2;107;118;141;70,5
3,1;22;114;126;141;70,5
3,2;22;115;127;141;70,5
3,3;22,1;115;127;141;70,5
3,4;22;109;121;141;70,5
3,5;22,1;117;129;138;69
3,6;22,1;120;133;137;68,5
3,7;22,1;123;136;137;68,5
3,8;22,1;119;132;136;68
3,9;22,1;116;128;138;69
4;22;117;129;137;68,5
4,1;22,2;119;132;137;68,5
4,2;22,2;115;127;137;68,5
4,3;22,1;122;135;135;67,5
4,4;22,1;124;137;136;68
4,5;22,1;124;137;136;68
4,6;22,1;151;138;134;67
4,7;22,2;124;137;133;66,5
4,8;22,1;126;140;133;66,5
4,9;22,1;128;142;132;66
5;22;126;140;133;66,5
5,1;22,1;130;144;132;66
5,2;22,2;122;135;134;67
5,3;22,1;122;135;133;66,5
5,4;22,1;130;144;131;65,5
5,5;22,2;130;144;132;66
5,6;22;131;145;131;65,5
5,7;22,2;131;145;131;65,5
5,8;22,1;128;142;131;65,5
5,9;22,1;130;144;131;65,5
6;22,1;132;146;130;65
6,1;22;139;154;128;64
6,2;22,2;135;150;128;64
6,3;22,2;136;151;129;64,5
6,4;22;133;147;129;64,5
6,5;22,1;128;142;129;64,5
6,6;22,1;140;155;127;63,5
6,7;22,2;131;145;128;64
6,8;22,1;134;148;127;63,5
6,9;22,2;138;153;126;63
7;22,2;132;146;127;63,5
7,1;22,1;137;152;125;62,5
7,2;22;144;160;124;62
7,3;22;144;159;125;62,5
7,4;22,1;142;157;124;62
7,5;22;142;157;124;62
7,6;22,1;137;152;125;62,5
7,7;22,1;145;161;124;62
7,8;22,2;144;160;122;61
7,9;22,2;145;161;122;61
8;22,1;144;159;122;61
8,1;22,2;143;158;121;60,5
8,2;22,2;184;164;122;61
8,3;22,2;146;162;122;61
8,4;22,2;146;162;120;60
8,5;22,1;150;166;119;59,5
8,6;22;145;161;120;60
8,7;22,1;146;162;120;60
8,8;22,1;152;168;118;59
8,9;22,1;154;171;118;59
9;22,1;197;170;119;59,5
9,1;22,2;147;163;119;59,5
9,2;22,2;157;174;118;59
9,3;22,2;155;172;117;58,5
9,4;22,1;151;167;118;59
9,5;22;153;169;118;59
9,6;22,1;158;175;117;58,5
9,7;22;153;169;116;58
9,8;22;158;175;116;58
9,9;22,1;154;171;117;58,5
10;22,1;157;174;114;57
10,1;22;158;175;116;58
10,2;22,2;157;174;114;57
10,3;22,1;155;172;114;57
